total testcases: 843
coverage_c=1417, time_used=6188303
coverage_c=1417, time_used=4764301
coverage_c=1417, time_used=2882231
coverage_c=1417, time_used=4767075
coverage_c=1417, time_used=8451671
coverage_c=1417, time_used=2737865
coverage_c=1417, time_used=3340799
coverage_c=1417, time_used=4773429
coverage_c=1417, time_used=4859752
coverage_c=1417, time_used=10785286
coverage_c=1417, time_used=2049705
coverage_c=1417, time_used=2875274
coverage_c=1417, time_used=3604578
coverage_c=1417, time_used=2854600
coverage_c=1417, time_used=4231119
coverage_c=1417, time_used=3002058
coverage_c=1417, time_used=2886562
coverage_c=1417, time_used=4750299
coverage_c=1417, time_used=4935898
coverage_c=1417, time_used=3521588
coverage_c=1417, time_used=3834031
coverage_c=1417, time_used=10279833
coverage_c=1417, time_used=7318958
coverage_c=1417, time_used=5216367
coverage_c=1417, time_used=5015699
coverage_c=1417, time_used=4956830
coverage_c=1417, time_used=3896562
coverage_c=1417, time_used=2763662
coverage_c=1417, time_used=2915456
coverage_c=1417, time_used=3759146
coverage_c=1417, time_used=9048712
coverage_c=1417, time_used=12548696
coverage_c=1417, time_used=7042753
Exception 发生了, [Errno 111] Connection refused
coverage_c=1417, time_used=2940471
coverage_c=1417, time_used=9126742
coverage_c=1417, time_used=12177548
coverage_c=1417, time_used=13567803
coverage_c=1417, time_used=13558126
coverage_c=1417, time_used=2962184
coverage_c=1417, time_used=5963172
coverage_c=1417, time_used=9285622
coverage_c=1417, time_used=10344977
coverage_c=1417, time_used=3517681
coverage_c=1417, time_used=9377938
coverage_c=1417, time_used=2980026
coverage_c=1417, time_used=3372116
coverage_c=1417, time_used=1764487
coverage_c=1417, time_used=4610056
