time_used(ms), py_cov, coverage_time_used(ms)
93636.6605758667, 2669, 2.31992
93649.3673324585, 2669, 2.385546
93661.60249710083, 2669, 1.9335
93673.57873916626, 2669, 1.856395
93693.24946403503, 2669, 8.657455
93707.12876319885, 2669, 3.663205
93721.15445137024, 2669, 3.797033
93734.47704315186, 2669, 2.984633
93748.51202964783, 2669, 3.829302
93762.6678943634, 2669, 3.92663
93776.21507644653, 2669, 3.321523
93791.0487651825, 2669, 4.475166
93806.04124069214, 2669, 4.804005
93819.82612609863, 2669, 3.538863
93833.42909812927, 2669, 3.43752
93846.74715995789, 2669, 3.078083
93861.04798316956, 2669, 4.086289
93877.0534992218, 2669, 5.772226
93892.16017723083, 2669, 4.737126
93909.31129455566, 2669, 6.802561
93924.59487915039, 2669, 4.933542
93938.2255077362, 2669, 3.307309
93952.57711410522, 2669, 3.996758
93966.08829498291, 2669, 3.120501
93979.69269752502, 2669, 3.325497
93995.32914161682, 2669, 5.300065
94008.89801979065, 2669, 3.173189
94023.30470085144, 2669, 4.080813
94036.856174469, 2669, 3.204936
94050.20499229431, 2669, 3.024281
94065.6259059906, 2669, 5.058823
94079.06174659729, 2669, 3.055588
94092.79727935791, 2669, 3.477836
94107.37347602844, 2669, 4.209998
94120.77832221985, 2669, 3.028481
94134.7382068634, 2669, 3.617157
94148.6086845398, 2669, 3.261845
94162.01615333557, 2669, 3.042297
94179.46410179138, 2669, 7.09587
94194.3929195404, 2669, 4.529481
94209.35916900635, 2669, 4.586339
94222.891330719, 2669, 3.098318
94242.63954162598, 2669, 9.41358
94257.30228424072, 2669, 4.141435
94270.73693275452, 2669, 3.088651
94284.10482406616, 2669, 3.036627
94299.43466186523, 2669, 5.060032
94313.08627128601, 2669, 3.282712
94326.97653770447, 2669, 3.519535
94341.4032459259, 2669, 4.084647
94359.80653762817, 2669, 8.065306
94376.95717811584, 2669, 6.754056
94394.24872398376, 2669, 6.931591
94407.94801712036, 2669, 3.289625
94424.7522354126, 2669, 6.427784
94438.57717514038, 2669, 3.452107
94455.68609237671, 2669, 6.744894
94469.72346305847, 2669, 3.695262
94483.95323753357, 2669, 3.865068
94497.30896949768, 2669, 3.007202
94511.1153125763, 2669, 3.545594
94524.98817443848, 2669, 3.555708
94538.47074508667, 2669, 3.128948
94554.95405197144, 2669, 6.149435
94568.3376789093, 2669, 2.979546
94584.31077003479, 2669, 5.622346
94602.23507881165, 2669, 7.544175
94621.09112739563, 2669, 8.470146
94636.47294044495, 2669, 5.027335
94651.45635604858, 2669, 4.438448
94668.34330558777, 2669, 6.55061
94683.95638465881, 2669, 5.290632
94701.2186050415, 2669, 6.90349
94717.67091751099, 2669, 6.151187
94732.60998725891, 2669, 4.576447
94748.71945381165, 2669, 5.739623
94763.49902153015, 2669, 4.444337
94780.16996383667, 2669, 6.330324
94800.6043434143, 2669, 10.077874
94818.04823875427, 2669, 6.973761
94835.20865440369, 2669, 6.708116
94852.28538513184, 2669, 6.656888
94867.78235435486, 2669, 5.127346
94884.93514060974, 2669, 6.867078
94901.05676651001, 2669, 5.780318
94922.37758636475, 2669, 11.019422
94937.56079673767, 2669, 4.769033
94954.99062538147, 2669, 7.135993
94971.33588790894, 2669, 6.042086
94986.96374893188, 2669, 5.337134
95003.31044197083, 2669, 6.074623
95019.04964447021, 2669, 5.418711
95035.26163101196, 2669, 5.868733
95051.6767501831, 2669, 6.058346
95068.56775283813, 2669, 6.575655
95084.70320701599, 2669, 5.835793
95099.81560707092, 2669, 4.822242
95116.4219379425, 2669, 4.943535
95131.73365592957, 2669, 4.989829
95148.06938171387, 2669, 6.069765
95169.1300868988, 2669, 5.889592
95184.71384048462, 2669, 5.312685
95201.79295539856, 2669, 6.834287
95217.43583679199, 2669, 5.330261
95232.33008384705, 2669, 4.667973
95247.66969680786, 2669, 5.058783
95264.56904411316, 2669, 6.598853
95282.10020065308, 2669, 7.196446
95297.60599136353, 2669, 5.180754
95315.13166427612, 2669, 7.217284
95332.65852928162, 2669, 7.211594
95348.45924377441, 2669, 5.47908
95371.5078830719, 2669, 5.425811
95386.87920570374, 2669, 4.40946
95403.61022949219, 2669, 6.488364
95418.24793815613, 2669, 4.339869
95432.78408050537, 2669, 4.319932
95447.4048614502, 2669, 4.390148
95463.93179893494, 2669, 6.282906
95485.2569103241, 2669, 11.054062
95500.63395500183, 2669, 5.072434
95518.5158252716, 2669, 7.54537
95535.15434265137, 2669, 6.371023
95549.87597465515, 2669, 4.442365
95567.6531791687, 2669, 7.494963
95583.86373519897, 2669, 5.906211
95603.54733467102, 2669, 9.322512
95622.7924823761, 2669, 8.026861
95639.45698738098, 2669, 6.370189
95655.6453704834, 2669, 5.881406
95671.23603820801, 2669, 5.117673
95687.33096122742, 2669, 5.811391
95702.80814170837, 2669, 5.197125
95719.18153762817, 2669, 6.091915
95735.48126220703, 2669, 5.926847
95752.47931480408, 2669, 6.648212
95767.22264289856, 2669, 4.463924
95782.24849700928, 2669, 4.765396
95797.84560203552, 2669, 5.346968
95813.61842155457, 2669, 5.317318
95829.67209815979, 2669, 5.724723
95844.62189674377, 2669, 4.684923
95860.87918281555, 2669, 5.9421
95876.01089477539, 2669, 4.85969
95892.37093925476, 2669, 6.04653
95907.54556655884, 2669, 4.823771
95924.69549179077, 2669, 6.875356
95940.36054611206, 2669, 5.371484
95956.05897903442, 2669, 5.41302
95977.43368148804, 2669, 11.044156
95993.75033378601, 2669, 6.011808
96008.87608528137, 2669, 4.841421
96025.0506401062, 2669, 5.914288
96040.14229774475, 2669, 4.803381
96057.53517150879, 2669, 7.046861
96074.11193847656, 2669, 6.28183
96089.3816947937, 2669, 4.81933
96116.26029014587, 2669, 16.611991
96137.21489906311, 2669, 10.523002
96151.0694026947, 2669, 3.50838
96173.20609092712, 2669, 11.828052
96192.5642490387, 2669, 8.873754
96207.74269104004, 2669, 4.988106
96221.69923782349, 2669, 3.568621
96236.87601089478, 2669, 4.906074
96250.99611282349, 2669, 3.958292
96266.0927772522, 2669, 4.953531
96280.39264678955, 2669, 4.152448
96294.16489601135, 2669, 3.621683
96309.13424491882, 2669, 4.824579
96322.38960266113, 2669, 3.101354
96335.82186698914, 2669, 3.28973
96350.08335113525, 2669, 4.040454
96363.93094062805, 2669, 3.698006
96378.25322151184, 2669, 4.177007
96391.74580574036, 2669, 3.344749
96405.2586555481, 2669, 3.371154
96420.51935195923, 2669, 5.114306
96434.08679962158, 2669, 3.39127
